204,豬錢腿肉,food2,,,10,12.4,6.1,0.43,2,0,38.7,5.4,0.3,2.3,24.9,0.13,0.33,1271125075,1271125075
205,油,food5,,,20,176.6,0,19.98,0,0,0,0,0,0,0,0,0,1271125075,1271125075
206,鮮肉包,food1,中式早餐,鮮肉包.jpg,150,387,15,15.3,10.65,52.5,150,361.5,42,24,471,0.9,0.9,1271125075,1271125075
207,蘿蔔糕,food7,中式早餐,煎廣式蘿蔔糕.jpg ,150,208.5,4.5,6.6,2.55,34.8,42,385.5,7.5,10.5,49.5,0.3,0.3,1271125075,1271125075
208,油,food5,,,15,132.45,0,14.985,0,0,0,0,0,0,0,0,0,1271125075,1271125075
209,全麥麵粉,food1,,蔥蛋餅.jpg,30,107.4,0,0.51,3.9,21.33,68.1,0.3,2.4,24.3,63.9,0.72,0.45,1271125075,1271125075
212,長糯米,food1,,傳統飯糰.jpg,60,213.6,0,0.54,4.74,46.26,44.4,1.2,3,15.6,28.8,0.18,0.42,1271125075,1271125075
214,蘿蔔乾,food3,,,10,5.8,0,0.12,0.22,1.08,40,327.9,9.2,4.1,3.4,0.21,0.05,1271125075,1271125075
216,油條,food7,中式早餐,,5,27.9,0,2.125,0.505,1.75,4.8,17.05,0.45,0.9,4.65,0.045,0.035,1271125075,1271125075
217,豆沙包,food1,,三角紅豆包.jpg,90,216.9,0,0.27,6.66,47.34,92.7,54,18.9,18.9,237.6,0.63,0.81,1271125075,1271125075
218,小籠包,food1,,小籠包.jpg,35,84,0.7,5.425,3.36,5.565,45.5,86.8,3.85,4.2,29.75,0.175,0.28,1271125075,1271125075
219,芋頭包,food1,,芋頭包.jpg,35,87.85,0,0.805,2.45,17.885,46.9,19.6,8.4,6.65,132.65,0.175,0.21,1271125075,1271125075
220,奶黃包,food1,,奶黃銀絲卷(小).jpg,30,84.3,0,0.99,2.67,16.35,30.3,3.3,2.7,6,24.3,0.27,0.21,1271125075,1271125075
221,菜包,food1,,菜包.jpg,150,339,1.5,3.6,12.9,64.2,150,366,42,28.5,456,0.9,0.9,1271125075,1271125075
222,饅頭,food1,,黑糖饅頭.jpg,120,296.4,0,1.44,9.72,61.56,79.2,218.4,25.2,19.2,69.6,0.48,1.92,1271125075,1271125075
223,黑糖,food7,調味料,,10,36.5,0,0,0.06,9.44,45.3,5.5,46.4,8.5,0.8,4.92,0.03,1271125075,1271125075
224,冷凍銀絲卷(奶黃),food1,,冷凍銀絲卷(奶黃).jpg,40,112.4,0,1.32,3.56,21.8,40.4,4.4,3.6,8,32.4,0.36,0.28,1271125075,1271125075
225,里肌肉(肉雞),food2,,沙威瑪麵包(小).jpg,20,20.4,9.8,0.08,4.6,0,64.8,11.4,0.2,5.6,43,0.06,0.1,1271125075,1271125075
226,白土司麵包,food1,,,50,149.5,6.5,3.75,4.7,24.5,54,235,13,14.5,59.5,0.55,0.45,1271125075,1271125075
227,乳酪,food6,,,5,14.9,4.15,1.06,0.905,0.44,3.7,92.25,28.7,1.5,18.6,0.09,0.135,1271125075,1271125075
228,白土司麵包,food1,,葡萄夾心.jpg,75,224.25,9.75,5.625,7.05,36.75,81,352.5,19.5,21.75,89.25,0.825,0.675,1271125075,1271125075
230,低筋麵粉,food1,,蛋糕.jpg,60,219,0,0.72,4.68,47.4,85.2,0.6,4.2,14.4,56.4,0.96,0.36,1271125075,1271125075
234,熱狗,food2,,大亨堡.jpg,70,199.5,38.5,15.82,9.38,5.25,91,469.7,16.1,7,91,1.33,0.77,1271125075,1271125075
235,白麵包,food1,,,80,239.2,10.4,6,7.52,39.2,86.4,376,20.8,23.2,95.2,0.88,0.72,1271125075,1271125075
236,白麵包,food1,,鮪魚漢堡.jpg,55,164.45,7.15,4.125,5.17,26.95,59.4,258.5,14.3,15.95,65.45,0.605,0.495,1271125075,1271125075
237,鮪魚片,food2,,,10,9.4,3.2,0.01,2.33,0,51.1,2.7,0.4,3.9,22.9,0.09,0.04,1271125075,1271125075
238,雞蛋,food2,,,55,78.1,238.15,5.445,6.655,0.165,67.65,74.25,16.5,6.05,101.75,0.99,0.66,1271125075,1271125075
239,豆漿,food7,飲料,,330,110,,,,,,,,,,,,1271125075,1271125075
